ID ramce	ID slovesa	Lemma			Finální třída	Finální koncept
v41chlBV	v41chl	mít			vec00328
v41chlCF	v41chl	mít			x	1.1.
v41chlCL	v41chl	mít			x	1.1.
v41chlCS	v41chl	mít			vec00254
v41chlCV	v41chl	mít			x	1.1.
v41chlDG	v41chl	mít			x	1.1.4.1.
v41chlDQ	v41chl	mít			vec01364
v41chlDW	v41chl	mít			vec00348
v41chlDX	v41chl	mít			vec01955
v41chlE	v41chl	mít			vec00742
v41chlEI	v41chl	mít			x	1.1.3.1.3.2.2.
v41chlEK	v41chl	mít			x	2.5.1.
v41chlES	v41chl	mít			x	1.1.3.2.3.3
v41chlFY	v41chl	mít			x	2.2.5.1.4.
v41chlL	v41chl	mít			x	2.4.1.2.9.
v41chlM	v41chl	mít			vec00531
v41jsBC	v41js	být			x	2.2.3.
v41jsBL	v41js	být			x	1.2.1.3.
v41jsBM	v41js	být			x	1.2.1.3.
v41jsBO	v41js	být			x	1.2.1.3.
v41jsCY	v41js	být			x	1.2.1.3.
v41bikAB	v41bik	jít			x	2.1.1.1.2.1.
v41bikAR	v41bik	jít			vec00261
v41bikBI	v41bik	jít			D
v41bikBV	v41bik	jít			vec00225
v41bikBW	v41bik	jít			vec00227
v41bikCC	v41bik	jít			vec00080
v41bikG	v41bik	jít			vec00227
v41bikH	v41bik	jít			vec00090
v41plAL	v41pl	dát			D
v41plAM	v41pl	dát			D
v41plAN	v41pl	dát			vec00382
v41plBX	v41pl	dát			vec01639	2.2.5.2.1.6.
v41plK	v41pl	dát			vec01087
v41plL	v41pl	dát			vec01867
v41psAG	v41ps	dávat			D
v41psAH	v41ps	dávat			D
v41psBD	v41ps	dávat			vec00246
v41psD	v41ps	dávat			vec01256
v41psM	v41ps	dávat			vec01206
v41psO	v41ps	dávat			vec01087
v41psX	v41ps	dávat			vec00303
v41pmaAA	v41pma	vzít			x	2.4.4.3.
v41pmaAV	v41pma	vzít			vec00113
v41pmaAY	v41pma	vzít			vec00146
v41pmaK	v41pma	vzít			vec01912
v41pmaM	v41pma	vzít			vec01396
