provrtat	98	0.03146	vec00503	0.03146	vec01699	0.03116	vec00610	0.02824	vec01439	0.02572	vec01216	0.02502	vec00555	0.02446	vec01508	0.02275	vec01403	0.02253	vec01219	0.0216	vec01817	0.02158
civilizovat	8	0.03278	vec01178	0.03278	vec00468	0.02723	vec00536	0.02595	vec00808	0.02593	vec01988	0.02488	vec00521	0.02202	vec00055	0.02188	vec00322	0.02099	vec00545	0.02034	vec00103	0.0202
usíci	9	0.03956	vec00555	0.03956	vec00031	0.0387	vec01491	0.03312	vec01206	0.03037	vec00019	0.02943	vec00380	0.02912	vec00296	0.02893	vec01500	0.02794	vec00911	0.02581	vec01876	0.02559
habilitovat se	5	0.04986	vec01491	0.04986	vec00316	0.04855	vec00069	0.04252	vec01221	0.04114	vec00373	0.03541	vec01692	0.03355	vec00595	0.02992	vec00078	0.02513	vec00024	0.02445	vec01301	0.02385
habilitovat	5	0.04986	vec01491	0.04986	vec00316	0.04855	vec00069	0.04252	vec01221	0.04114	vec00373	0.03541	vec01692	0.03355	vec00595	0.02992	vec00078	0.02513	vec00024	0.02445	vec01301	0.02385
převléci	195	0.05122	vec01050	0.05122	vec00629	0.03921	vec00972	0.03065	vec01500	0.03039	vec00766	0.02944	vec01132	0.02782	vec00283	0.02717	vec01607	0.02501	vec01086	0.0242	vec00095	0.02279
vyhladovět	46	0.05307	vec00233	0.05307	vec00185	0.05278	vec01105	0.05033	vec00657	0.04759	vec01727	0.03248	vec01623	0.02976	vec01699	0.02952	vec00555	0.0291	vec00665	0.02837	vec00958	0.02642
pořezat se	125	0.05722	vec01038	0.05722	vec01449	0.05163	vec00764	0.03042	vec01820	0.03024	vec00365	0.03	vec00372	0.02811	vec01039	0.02734	vec01301	0.02643	vec00117	0.02587	vec01508	0.02497
zocelit	23	0.05857	vec00390	0.05857	vec00958	0.05273	vec00246	0.05223	vec01792	0.04421	vec00372	0.04122	vec00055	0.04093	vec01940	0.04023	vec01192	0.03154	vec00145	0.02925	vec00536	0.02914
prosekat	36	0.05928	vec01290	0.05928	vec00665	0.05906	vec00884	0.05044	vec01213	0.0295	vec00272	0.02703	vec00687	0.02632	vec00958	0.02491	vec01200	0.02418	vec00879	0.02418	vec00218	0.02375
prokopnout se	9	0.05954	vec00888	0.05954	vec01216	0.0526	vec00503	0.04111	vec01699	0.03807	vec01673	0.03801	vec00885	0.03633	vec01403	0.0355	vec00555	0.03243	vec00087	0.03168	vec01301	0.03143
ohlodat	25	0.05974	vec01250	0.05974	vec01699	0.04888	vec01216	0.04395	vec01810	0.04308	vec00503	0.04226	vec00785	0.0367	vec00555	0.0329	vec01491	0.02921	vec01146	0.0292	vec01899	0.02908
zadělat	45	0.0615	vec00169	0.0615	vec00196	0.04361	vec00104	0.04296	vec00589	0.03936	vec00884	0.03602	vec01322	0.03465	vec00112	0.03318	vec00520	0.03282	vec00147	0.03201	vec00886	0.02824
soužit	94	0.06342	vec01133	0.06342	vec01898	0.05623	vec01210	0.0489	vec00608	0.03726	vec00740	0.03603	vec01510	0.03088	vec00515	0.03029	vec01613	0.03007	vec00958	0.02784	vec00205	0.02658
zaplombovat	10	0.0653	vec01216	0.0653	vec01250	0.05809	vec00943	0.05381	vec00932	0.05378	vec01342	0.04583	vec01966	0.04112	vec00899	0.0301	vec01778	0.02623	vec01584	0.02592	vec00739	0.02573
prošoupávat	2	0.06604	vec01219	0.06604	vec00322	0.05428	vec00991	0.04635	vec01517	0.04373	vec00865	0.04034	vec01699	0.03047	vec01500	0.02793	vec01250	0.02734	vec01301	0.02678	vec00922	0.02648
sešikovat	22	0.06721	vec00710	0.06721	vec00833	0.0672	vec01444	0.06171	vec00443	0.04552	vec00318	0.03657	vec00713	0.03028	vec00069	0.03015	vec00522	0.02766	vec00735	0.02649	vec01491	0.02491
