ID ramce	ID slovesa	Lemma			Finální třída	Finální koncept
						
v41hwA	v41hw	brázdit			x	2.1.4.4.1.
						
v41kaA	v41ka	celebrovat			vec00663	2.5.4.3
						
v41ktB	v41kt	cinkat			vec01195	2.1.2.1
						
v41kwA	v41kw	cirkulovat			vec00831	2.1.1.1.1.2.3
						
v41ljA	v41lj	civilizovat			x	2.4.2.2.7.1.1
						
v41mbA	v41mb	cupovat			vec00903	2.4.2.2.4.2.2.2
						
v41nzB	v41nz	čišet			vec01550	2.1.6.1.1
						
v41poA	v41po	datovat se			vec00005	1.1.4.2.1
						
v41qhA	v41qh	decentralizovat			vec00804	2.4.2.4.3.1.2
						
v41ryA	v41ry	demokratizovat			x	2.4.2.4.
						
v41siA	v41si	demoralizovat			vec00055	2.4.2.4.2.2
						
v41aapA	v41aap	doléčit			vec00628	2.5.1.2.3.1.2
						
v41abmA	v41abm	domýšlet se			vec00092	2.2.5.8
						
v41abtA	v41abt	doobědvat			x	2.6.2.2.1.1
						
v41adnA	v41adn	dopravit			vec00011	2.1.1.2.1.3
						
v41aleA	v41ale	držet si			vec00607	2.5.3
						
v41aniA	v41ani	eskalovat			vec00730	2.5.3.1.4
						
v41anuA	v41anu	evidovat			vec00507	2.1.3.6
						
v41aowB	v41aow	extrahovat			vec00764	2.4.2.2.4.1.1.1.1
						
v41aqwA	v41aqw	flirtovat			x	2.5.
						
v41athA	v41ath	habilitovat			x	2.5.1.1.1
						
v41atiA	v41ati	habilitovat se			x	2.2.6.1.1.1.2.1
						
v41axhA	v41axh	horovat			vec00877	2.2.5.1.1.3
						
v41ayjB	v41ayj	hradit			vec01356	2.2.1.4.4
						
v41ayyA	v41ayy	hrknout			x	2.1.2.2.3
						
v41ayyB	v41ayy	hrknout			x	2.1.2.
						
v41azdB	v41azd	hroutit se			vec01587	2.4.1.1.11.3.5
						
v41bagA	v41bag	hypnotizovat			x	2.5.5.
						
v41bdgA	v41bdg	identifikovat			x	2.2.2.3.
						
v41bfiA	v41bfi	inscenovat			vec00900	2.1.5.1.9.2
						
v41bjgA	v41bjg	kandidovat			vec01047	2.5.1.1.1.1
						
v41bjzA	v41bjz	katapultovat se			x	2.1.1.2.1.1.2.
						
v41bkyB	v41bky	klátit			x	2.4.2.2.7.13.1
						
v41blkB	v41blk	klesnout			x	2.1.1.1.2.1.
						
v41blpA	v41blp	klidit			vec01140	2.1.4.9
						
v41bmsA	v41bms	koexistovat			x	1.1.4.3.
						
v41bpoA	v41bpo	kondolovat			x	2.5.4.
						
v41brbA	v41brb	kontaminovat			vec01182	2.4.2.2.4.2.8
						
v41btxB	v41btx	kousnout			vec01039	2.6.2.2.1.1.2
						
v41buqA	v41buq	krčit se			vec00243	1.1.3.2.2.3.2
						
v41bvoA	v41bvo	kručet			x	2.1.2.2.
						
v41bvoB	v41bvo	kručet			x	2.1.2.2.
						
v41bvqA	v41bvq	krvácet			x	2.4.1.1.11.3.
						
v41bxsA	v41bxs	kývat se			vec00626	2.1.1.1.1.2.1.1.2
						
v41bylA	v41byl	laškovat			x	2.5.
						
v41cafB	v41caf	lhát			x	2.2.4.1
						
v41casB	v41cas	líčit			x	2.6.1
						
v41cciA	v41cci	loupit			vec01932	2.4.4.2.1.4
						
v41ccnB	v41ccn	lpět			x	2.3.3.1
						
v41cgaB	v41cga	migrovat			vec01577	2.1.1.2.2.2.4
						
v41chpA	v41chp	mizet			vec00048	2.1.1.1.2.2.1
						
v41cidA	v41cid	mobilizovat			vec01265	2.5.3.1.1.2
						
v41ciuA	v41ciu	modulovat			vec00095	(2.4.2.2
						
v41cqqA	v41cqq	nachmelit se			x	2.6.2.2.1.
						
v41cuaA	v41cua	nalíčit			vec00900	2.1.5.1.9.2
						
v41daiB	v41dai	nařizovat			vec01728	2.4.2.2.7
						
v41deqB	v41deq	natěsnat se			vec00833	2.1.1.1.1.2.5
						
v41dfmA	v41dfm	navádět			x	2.1.1.2.1.8
						
v41dioA	v41dio	nažrat			vec01323	2.4.3.1.2
						
v41djdA	v41djd	nechat si			vec00942	2.9.2
						
v41dmgA	v41dmg	nutit			vec00743	2.5.5.3.2.1
						
v41dpdA	v41dpd	obíhat			vec01665	2.1.1.2.1.7
						
v41dpjB	v41dpj	objednat			x	2.2.5.1.4.5.1
						
v41drfA	v41drf	obnosit			x	2.4.2.2.4.3.3
						
v41dsjA	v41dsj	obrnit si			vec00290	2.1.4.8.1
						
v41dspA	v41dsp	obrůstat			vec01968	2.4.1.1.8.2
						
v41dthA	v41dth	obstarávat			vec00302	2.5.5.1.2
						
v41dvaA	v41dva	očarovávat			vec00860	2.5.3.2.1.2
						
v41dwrB	v41dwr	odcizit			x	2.5.3.1.1
						
v41dxgA	v41dxg	oddálit			x	2.5.3.1.1
						
v41dxhA	v41dxh	oddálit se			x	2.5.3.1.1
						
v41dxjA	v41dxj	oddalovat			x	2.5.3.1.1
						
v41dycA	v41dyc	oddychovat			vec01863	1.1.4.3.3.1.2.1
						
v41dzuA	v41dzu	odhalovat			x	2.4.2.2. 
						
v41eadA	v41ead	odhlížet			vec00460	1.1.3.1.3.1.1
						
v41eawA	v41eaw	odchytit			vec00615	2.1.3.2.5
						
v41ecaA	v41eca	odkopnout			vec00050	2.5.1.4.3
						
v41eftA	v41eft	odplynout			vec01885	2.4.1.1.11.8.1
						
v41efxB	v41efx	odpočítávat			x	2.2.2.1.2.
						
v41ehjA	v41ehj	odpudit			vec00251	2.5.5.10.1.1
						
v41ehlB	v41ehl	odpustit			x	2.1.1.2.2.
						
v41eigA	v41eig	odrůst			x	2.4.1.1.17.1.
						
v41elbA	v41elb	odškrtávat			vec00316	2.2.6.1.1.1.2
						
v41eliA	v41eli	odtáhnout se			vec00143	2.1.1.1.2.2.3
						
v41elrA	v41elr	odtrhávat se			vec00942	2.9.2
						
v41eluA	v41elu	odtrhovat			vec00047	2.4.2.2.4.1.1.1.1
						
v41eoqB	v41eoq	ohlašovat			vec00060	2.2.4)
						
v41eozA	v41eoz	ohlodat			vec00055	2.4.2.4.2.2
						
v41esqA	v41esq	okusit			vec00058	2.1.4.3
						
v41evmA	v41evm	opíjet			x	2.4.2.2.4.8
						
v41ewqA	v41ewq	opotřebovat			x	2.4.2.2.4.3.4.
						
v41expA	v41exp	opsat			vec01804	2.9.3.2
						
v41fcuA	v41fcu	oteplit se			vec01064	2.1.6
						
v41fcvA	v41fcv	oteplovat			vec01553	2.4.2.2.7.15
						
v41fdiA	v41fdi	otisknout			vec00351	2.1.5.1.2
						
v41fdjA	v41fdj	otiskovat			vec00351	2.1.5.1.2
						
v41fekA	v41fek	otužovat			vec00539	2.5.1.2.8
						
