=	156	0.07321	vec00206	0.07321	vec00356	0.03549	vec00194	0.01900	vec00250	0.01841	vec01491	0.01688	vec01583	0.01479	vec01576	0.01410	vec00166	0.01382	vec00865	0.01339	vec00942	0.01268
abdikovat	10	0.22280	vec00942	0.22280	vec01601	0.09401	vec01140	0.08123	vec00198	0.04665	vec00555	0.03409	vec00905	0.03323	vec00658	0.02831	vec01104	0.02479	vec00113	0.02029	vec00739	0.01966
absolvovat	522	0.47578	vec00601	0.47578	vec00213	0.20279	vec01567	0.01550	vec00379	0.01451	vec01188	0.01224	vec01059	0.01205	vec00279	0.01196	vec00685	0.01026	vec00309	0.01026	vec00113	0.00993
abstrahovat	12	0.28681	vec00047	0.28681	vec01361	0.06081	vec00296	0.04760	vec00595	0.03464	vec00942	0.02763	vec01538	0.02534	vec00558	0.02450	vec01953	0.02411	vec00849	0.02396	vec00380	0.02290
agitovat	44	0.09093	vec01547	0.09093	vec01646	0.06934	vec00276	0.06205	vec00069	0.03586	vec00188	0.02520	vec00272	0.02380	vec00361	0.02261	vec00461	0.02231	vec00773	0.02168	vec00050	0.02088
aklimatizovat se	22	0.69377	vec00696	0.69377	vec00902	0.08865	vec01001	0.01593	vec00256	0.01563	vec01735	0.01487	vec01912	0.01482	vec00821	0.01387	vec00381	0.01353	vec00218	0.01345	vec01690	0.01324
akreditovat	5	0.14036	vec01221	0.14036	vec00507	0.11842	vec00078	0.03708	vec00571	0.03417	vec00188	0.03193	vec00369	0.02735	vec00141	0.02606	vec01117	0.01803	vec00735	0.01715	vec01320	0.01656
aktivizovat se	7	0.72108	vec00038	0.72108	vec01765	0.03729	vec00915	0.02582	vec00845	0.02575	vec00246	0.02285	vec00539	0.01784	vec00069	0.01498	vec00708	0.01496	vec00182	0.01459	vec00097	0.01267
anektovat	5	0.58294	vec00646	0.58294	vec00751	0.04827	vec01178	0.04409	vec00096	0.04341	vec00286	0.03978	vec01698	0.03226	vec01049	0.02816	vec00389	0.02707	vec00341	0.02674	vec00704	0.02218
angažovat	210	0.43115	vec01458	0.43115	vec00369	0.26720	vec00775	0.07691	vec01268	0.06119	vec00067	0.06116	vec00373	0.02899	vec00188	0.02419	vec00175	0.02281	vec01706	0.01891	vec00818	0.01744
asimilovat	22	0.07816	vec01178	0.07816	vec00696	0.06310	vec01132	0.05119	vec00360	0.03200	vec00097	0.03139	vec01970	0.02997	vec00723	0.02552	vec01370	0.02340	vec01912	0.02315	vec00103	0.02293
asociovat	12	0.57810	vec01953	0.57810	vec00723	0.07407	vec00101	0.03849	vec01191	0.03323	vec00016	0.02649	vec00318	0.02448	vec00194	0.02372	vec00417	0.02135	vec00120	0.02010	vec01234	0.01901
atomizovat	3	0.15438	vec00296	0.15438	vec01178	0.12007	vec00723	0.07923	vec01305	0.04340	vec00091	0.03435	vec01132	0.03105	vec00911	0.02751	vec00206	0.02748	vec01519	0.02333	vec00047	0.02276
