ID ramce	ID slovesa	Lemma			Finální třída	Finální koncept
						
v41jsA	v41js	být			x	1.1.4.3.3.
						
v41jsB	v41js	být			vec00225	2.9.11.4
						
v41jsC	v41js	být			x	1.2.1.3.1.1.
						
v41jsD	v41js	být			vec01364	1.2.1.3.1
						
v41jsE	v41js	být			vec00574	2.2.5.1.1
						
v41jsF	v41js	být			x	1.1.4.3.1.
						
v41jsG	v41js	být			vec01455	1.2.1.3.1.5
						
v41jsH	v41js	být			x	1.2.1.
						
v41jsI	v41js	být			vec01485	2.1.4.4
						
v41jsJ	v41js	být			vec00314	1.1.3.1.2.3
						
v41jsK	v41js	být			vec00006	02.04.2001
						
v41jsL	v41js	být			vec00317	1.1.4.3.3.1.2.4
						
v41jsM	v41js	být			x	1.2.1.3.1
						
v41jsN	v41js	být			vec00180	1.1.4.3.3.4
						
v41jsO	v41js	být			x	1.1.
						
v41jsP	v41js	být			vec01564	3.1.
						
v41jsQ	v41js	být			vec00204	1.1.3.2
						
v41jsR	v41js	být			x	1.2.1. 
						
v41jsS	v41js	být			vec00113	2.3.2.
						
v41jsT	v41js	být			x	2.6.2.5.
						
v41jsU	v41js	být			vec00017	1
						
v41jsV	v41js	být			vec01564	3.1.
						
v41jsW	v41js	být			x	1.1.4.3.3.1.2.3.
						
v41jsX	v41js	být			x	1.1.4.3.1.6
						
v41jsY	v41js	být			vec00113	2.3.2.
						
v41jsZ	v41js	být			x	1.1.4.2.4.
						
v41jsAA	v41js	být			x	1.1.4.3.3.
						
v41jsAB	v41js	být			x	1.1.4.1.3.3.
						
v41jsAC	v41js	být			x	1.1.4.2.2.
						
v41jsAD	v41js	být			P	
						
v41jsAE	v41js	být			P	
						
v41jsAF	v41js	být			P	
						
v41jsAH	v41js	být			vec01320	2.2.4.4.8
						
v41jsAI	v41js	být			vec00432	1.1.3.1.1.4
						
v41jsAJ	v41js	být			x	1.1.3.
						
v41jsAK	v41js	být			D	1.2.1.3.1.
						
v41jsAL	v41js	být			x	1.1.4.3.3.5
						
v41jsAM	v41js	být			vec00516	
						
v41jsAN	v41js	být			x	1.1.3.2.2.5.
						
v41jsAO	v41js	být			x	1.1.3.2.2.5.
						
v41jsAQ	v41js	být			vec01199	1.1.3.2.1.2.3
						
v41jsAR	v41js	být			x	2.2.4.1.
						
v41jsAS	v41js	být			x	2.2.4.1.
						
v41jsAT	v41js	být			x	2.2.4.1.
						
v41jsAU	v41js	být			vec01465	2.4.1.2.9.2
						
v41jsAV	v41js	být			vec01664	2.5.1.6.1
						
v41jsAW	v41js	být			D	1.2.1.3.1.
						
v41jsAX	v41js	být			x	1.1.4.3.3.
						
v41jsAZ	v41js	být			x	1.1.2.
						
v41jsBA	v41js	být			x	1.1.4.3.1.1
						
v41jsBB	v41js	být			x	1.1.4.3.3.4
						
v41jsBD	v41js	být			vec01209	1.1.3.1.2.2)
						
v41jsBF	v41js	být			x	1.1.
						
v41jsBG	v41js	být			vec00583	2.4.3.1.2.3
						
v41jsBH	v41js	být			x	1
						
v41jsBI	v41js	být			x	1
						
v41jsBJ	v41js	být			vec01458	2.2.5.4
						
v41jsBK	v41js	být			x	1.1.3.1.3.
						
v41jsBN	v41js	být			vec01744	2.4.1.1.11
						
v41jsBP	v41js	být			vec00107	2.2.3.1
						
v41jsBQ	v41js	být			x	1
						
v41jsBS	v41js	být			x	1
						
v41jsBU	v41js	být			x	1.1.4.3.3.
						
v41jsBV	v41js	být			vec01229	1.1.4.3.1.5
						
v41jsBW	v41js	být			x	1.1.4.3.3.4.
						
v41jsBX	v41js	být			vec01229	1.1.4.3.3.4.
						
v41jsBZ	v41js	být			vec00077	1.1.4.3.3.4.
						
v41jsCA	v41js	být			x	1.1.4.3.2.
						
v41jsCB	v41js	být			x	1.1.3.1.3.1.3.
						
v41jsCC	v41js	být			x	1.1.4.3.3.4.
						
v41jsCD	v41js	být			vec01229	1.1.4.3.1.5
						
v41jsCE	v41js	být			vec00154	2.7.1.1
						
v41jsCF	v41js	být			x	
						
v41jsCG	v41js	být			x	1.1.
						
v41jsCH	v41js	být			vec00374	2.1.1.1.1
						
v41jsCI	v41js	být			vec01455	1.2.1.3.1.5
						
v41jsCJ	v41js	být			vec00370	1.1.4.3.3.5
						
v41jsCK	v41js	být			vec00370	1.1.4.3.3.5
						
v41jsCL	v41js	být			vec00032	2.2.2.6
						
v41jsCN	v41js	být			x	1
						
v41jsCO	v41js	být			x	1.1. 
						
v41jsCQ	v41js	být			vec01390	2.1.1.1.2.1.1
						
v41jsCS	v41js	být			vec01332	1.1.4.2.2.1
						
v41jsCT	v41js	být			x	2.5.1.3.6.
						
v41jsCU	v41js	být			x	1.1.
						
v41jsCV	v41js	být			x	1
						
v41jsCW	v41js	být			vec00097	1.1.4.3.3.8
						
v41jsCX	v41js	být			x	2.5.3.1.1.
						
v41jsCZ	v41js	být			vec00444	1.1.4.2.4
						
v41jsDA	v41js	být			x	1
						
v41jsDB	v41js	být			vec01231	2.5.1.5
						
v41jsDC	v41js	být			vec01230	3.1.
						
v41jsDD	v41js	být			vec00547	1.1.3.2.2
						
v41jsDE	v41js	být			x	1.1.4.3.3.1.2
						
v41jsDG	v41js	být			x	1.2.1.1.
						
v41jsDH	v41js	být			x	1.1.
						
v41jsDI	v41js	být			vec00314	1.1.3.1.2.3
						
v41jsDJ	v41js	být				
						
v41jsDK	v41js	být			x	1.1.4.3.3.4
						
v41jsDM	v41js	být				
						
v41jsDN	v41js	být				
						
v41jsDO	v41js	být				
						
v41jsDP	v41js	být				
						
v41jsDS	v41js	být			x	1.1.4.3.3.
						
v41jsDT	v41js	být				
						
v41jsDU	v41js	být				
						
v41jsDV	v41js	být				
						
v41jsDW	v41js	být				
						
v41jsDX	v41js	být				
						
v41jsDZ	v41js	být				
						
v41jsEA	v41js	být			vec01885	2.4.1.1.11.8.1
						
v41jsEC	v41js	být			vec00104	2.9.3.3
						
v41jsED	v41js	být				
						
v41jsEE	v41js	být				
						
v41jsEF	v41js	být				
						
v41jsEG	v41js	být				
						
v41jsEH	v41js	být				
						
v41jsEI	v41js	být				
						
v41jsEJ	v41js	být				
						
v41jsEK	v41js	být				
						
v41jsEL	v41js	být			vec00547	1.1.3.2.2
						
v41jsEM	v41js	být				
						
v41jsEO	v41js	být				
						
v41jsEP	v41js	být				
						
v41jsEQ	v41js	být			x	3
						
v41jsER	v41js	být			x	1.2.1.3.1.3
						
v41jsES	v41js	být			x	3
						
v41jsET	v41js	být			x	1.1. 
						
v41jsEV	v41js	být			x	1
						
v41jsEW	v41js	být			vec00444	1.1.4.2.4
						
v41jsEY	v41js	být			vec00226	1.1.4.3.3.1.2.3
						
v41jsEZ	v41js	být			vec00162	2.5.1.3.7.2
						
v41hsB	v41hs	brát			vec00120	2.2.4.4.8.2
						
v41hsC	v41hs	brát			vec00096	2.4.4.3.2.4
						
v41hsF	v41hs	brát			vec00189	2.4.4.1
						
v41hsH	v41hs	brát			vec00225	2.9.11.4
						
v41hsJ	v41hs	brát			vec01169	2.2.5.2.2.2
						
v41hsL	v41hs	brát			vec01396	2.7.1.5.1
						
v41hsM	v41hs	brát			vec00369	2.5.1.3
						
v41hsN	v41hs	brát			vec00172	2.1.1.2.1
						
v41hsO	v41hs	brát			x	2.2.4.1.4.3
						
v41hsP	v41hs	brát			vec00042	2.5.1.6.2.2
						
v41hsQ	v41hs	brát			vec00609	1.1.3.2.1.2.2
						
v41hsR	v41hs	brát			x	2.2.3.8.1.
						
v41hsS	v41hs	brát			x	2.5.1.6.1.1
						
v41hsV	v41hs	brát			x	2.9.12.
						
v41hsX	v41hs	brát			P	
						
v41hsY	v41hs	brát			P	
						
v41hsZ	v41hs	brát			vec00613	2.2.5.10.4
						
v41hsAB	v41hs	brát			vec00341	2.7.2
						
v41hsAC	v41hs	brát			vec00149	2.2.5.1.7
						
v41hsAG	v41hs	brát			vec00198	2.4.2.4.2.4
						
